########## 1. M 内部对应对（不含任何研究集端点）##########
[data] N=2241  papers=162
[filter] local-only eligible MSUs: 2241/2241 categories=ALL, min_rank=1
[cand] 3500 cross-paper candidate pairs in cosine[0.55,0.95]
[coverage] 2238/2241 eligible MSUs occur in at least one submitted pair
[v11] it 0100/1500 loss=3.0235 trust=0.874 knnOv=0.188 BZrec@12_2d=nan
[v11] it 0200/1500 loss=2.5730 trust=0.916 knnOv=0.294 BZrec@12_2d=nan
[v11] it 0300/1500 loss=2.3386 trust=0.931 knnOv=0.335 BZrec@12_2d=nan
[v11] it 0400/1500 loss=2.1991 trust=0.937 knnOv=0.350 BZrec@12_2d=nan
[v11] it 0500/1500 loss=2.0901 trust=0.940 knnOv=0.360 BZrec@12_2d=nan
[v11] it 0600/1500 loss=2.0290 trust=0.941 knnOv=0.364 BZrec@12_2d=nan
[v11] it 0700/1500 loss=1.9680 trust=0.942 knnOv=0.367 BZrec@12_2d=nan
[v11] it 0800/1500 loss=1.9220 trust=0.942 knnOv=0.368 BZrec@12_2d=nan
[v11] it 0900/1500 loss=1.8935 trust=0.942 knnOv=0.368 BZrec@12_2d=nan
[v11] it 1000/1500 loss=1.8753 trust=0.943 knnOv=0.369 BZrec@12_2d=nan
[v11] it 1100/1500 loss=1.8530 trust=0.943 knnOv=0.369 BZrec@12_2d=nan
[v11] it 1200/1500 loss=1.8370 trust=0.943 knnOv=0.369 BZrec@12_2d=nan
[v11] it 1300/1500 loss=1.8315 trust=0.943 knnOv=0.370 BZrec@12_2d=nan
[v11] it 1400/1500 loss=1.8266 trust=0.943 knnOv=0.370 BZrec@12_2d=nan
[v11] it 1500/1500 loss=1.8360 trust=0.943 knnOv=0.371 BZrec@12_2d=nan

[v11] FINAL trust=0.943 knnOv=0.371 {'n': 0}
[save] data/bio_m/stages/05_model/bio_m_lam0.0_s0.pt
BIO_M_CHAIN_DONE
