[data] N=2689  papers=6
[filter] local-only eligible MSUs: 2689/2689 categories=ALL, min_rank=-1
[cand] 30000 cross-paper candidate pairs in cosine[0.55,0.95]
[coverage] 2686/2689 eligible MSUs occur in at least one submitted pair
[judge] 4770/30000  kept=1781
[judge] 4780/30000  kept=1785
[judge] 4790/30000  kept=1788
[judge] 4800/30000  kept=1792
[judge] 4810/30000  kept=1794
[judge] 4820/30000  kept=1798
[judge] 4830/30000  kept=1801
[judge] 4840/30000  kept=1804
[judge] 4850/30000  kept=1806
[judge] 4860/30000  kept=1810
[judge] 4870/30000  kept=1814
[judge] 4880/30000  kept=1817
[judge] 4890/30000  kept=1819
[judge] 4900/30000  kept=1821
[judge] 4910/30000  kept=1824
[judge] 4920/30000  kept=1829
[judge] 4930/30000  kept=1833
[judge] 4940/30000  kept=1836
[judge] 4950/30000  kept=1840
[judge] 4960/30000  kept=1842
[judge] 4970/30000  kept=1846
[judge] 4980/30000  kept=1850
[judge] 4990/30000  kept=1852
[judge] 5000/30000  kept=1857
[judge] 5010/30000  kept=1861
[judge] 5020/30000  kept=1865
[judge] 5030/30000  kept=1869
[judge] 5040/30000  kept=1871
[judge] 5050/30000  kept=1874
[judge] 5060/30000  kept=1877
[judge] 5070/30000  kept=1879
[judge] 5080/30000  kept=1883
[judge] 5090/30000  kept=1889
[judge] 5100/30000  kept=1893
[judge] 5110/30000  kept=1897
[judge] 5120/30000  kept=1901
[judge] 5130/30000  kept=1905
[judge] 5140/30000  kept=1908
[judge] 5150/30000  kept=1912
[judge] 5160/30000  kept=1915
[judge] 5170/30000  kept=1919
[judge] 5180/30000  kept=1921
[judge] 5190/30000  kept=1924
[judge] 5200/30000  kept=1928
[judge] 5210/30000  kept=1933
[judge] 5220/30000  kept=1936
[judge] 5230/30000  kept=1937
[judge] 5240/30000  kept=1941
[judge] 5250/30000  kept=1941
[judge] 5260/30000  kept=1944
[judge] 5270/30000  kept=1946
[judge] 5280/30000  kept=1950
[judge] 5290/30000  kept=1954
[judge] 5300/30000  kept=1956
[judge] 5310/30000  kept=1960
[judge] 5320/30000  kept=1966
[judge] 5330/30000  kept=1969
[judge] 5340/30000  kept=1972
[judge] 5350/30000  kept=1975
[judge] 5360/30000  kept=1980
[judge] 5370/30000  kept=1985
[judge] 5380/30000  kept=1987
[judge] 5390/30000  kept=1989
[judge] 5400/30000  kept=1992
[judge] 5410/30000  kept=1994
[judge] 5420/30000  kept=1998
[judge] 5430/30000  kept=2001
[judge] 5440/30000  kept=2006
[judge] 5450/30000  kept=2010
[judge] 5460/30000  kept=2014
[judge] 5470/30000  kept=2018
[judge] 5480/30000  kept=2022
[judge] 5490/30000  kept=2024
[judge] 5500/30000  kept=2028
[judge] 5510/30000  kept=2032
[judge] 5520/30000  kept=2035
[judge] 5530/30000  kept=2038
[judge] 5540/30000  kept=2042
[judge] 5550/30000  kept=2046
[judge] 5560/30000  kept=2048
[judge] 5570/30000  kept=2051
[judge] 5580/30000  kept=2054
[judge] 5590/30000  kept=2058
[judge] 5600/30000  kept=2061
[judge] 5610/30000  kept=2064
[judge] 5620/30000  kept=2067
[judge] 5630/30000  kept=2070
[judge] 5640/30000  kept=2075
[judge] 5650/30000  kept=2078
[judge] 5660/30000  kept=2081
[judge] 5670/30000  kept=2084
[judge] 5680/30000  kept=2089
[judge] 5690/30000  kept=2094
[judge] 5700/30000  kept=2099
[judge] 5710/30000  kept=2104
[judge] 5720/30000  kept=2107
[judge] 5730/30000  kept=2112
[judge] 5740/30000  kept=2117
[judge] 5750/30000  kept=2120
[judge] 5760/30000  kept=2122
[judge] 5770/30000  kept=2123
[judge] 5780/30000  kept=2126
[judge] 5790/30000  kept=2130
[judge] 5800/30000  kept=2133
[judge] 5810/30000  kept=2137
[judge] 5820/30000  kept=2140
[judge] 5830/30000  kept=2142
[judge] 5840/30000  kept=2146
[judge] 5850/30000  kept=2148
[judge] 5860/30000  kept=2153
[judge] 5870/30000  kept=2155
[judge] 5880/30000  kept=2158
[judge] 5890/30000  kept=2160
[judge] 5900/30000  kept=2165
[judge] 5910/30000  kept=2168
[judge] 5920/30000  kept=2172
[judge] 5930/30000  kept=2176
[judge] 5940/30000  kept=2180
[judge] 5950/30000  kept=2183
[judge] 5960/30000  kept=2186
[judge] 5970/30000  kept=2189
[judge] 5980/30000  kept=2191
[judge] 5990/30000  kept=2194
[judge] 6000/30000  kept=2197
[judge] 6010/30000  kept=2199
[judge] 6020/30000  kept=2202
[judge] 6030/30000  kept=2205
[judge] 6040/30000  kept=2208
[judge] 6050/30000  kept=2210
[judge] 6060/30000  kept=2213
[judge] 6070/30000  kept=2217
[judge] 6080/30000  kept=2219
[judge] 6090/30000  kept=2222
[judge] 6100/30000  kept=2224
[judge] 6110/30000  kept=2227
[judge] 6120/30000  kept=2229
[judge] 6130/30000  kept=2232
[judge] 6140/30000  kept=2235
[judge] 6150/30000  kept=2238
[judge] 6160/30000  kept=2243
[judge] 6170/30000  kept=2247
[judge] 6180/30000  kept=2250
[judge] 6190/30000  kept=2252
[judge] 6200/30000  kept=2256
[judge] 6210/30000  kept=2259
[judge] 6220/30000  kept=2264
[judge] 6230/30000  kept=2266
[judge] 6240/30000  kept=2270
[judge] 6250/30000  kept=2271
[judge] 6260/30000  kept=2275
[judge] 6270/30000  kept=2278
[judge] 6280/30000  kept=2283
[judge] 6290/30000  kept=2288
[judge] 6300/30000  kept=2291
[judge] 6310/30000  kept=2294
[judge] 6320/30000  kept=2296
[judge] 6330/30000  kept=2299
[judge] 6340/30000  kept=2302
[judge] 6350/30000  kept=2304
[judge] 6360/30000  kept=2307
[judge] 6370/30000  kept=2310
[judge] 6380/30000  kept=2313
[judge] 6390/30000  kept=2316
[judge] 6400/30000  kept=2320
[judge] 6410/30000  kept=2321
[judge] 6420/30000  kept=2323
[judge] 6430/30000  kept=2326
[judge] 6440/30000  kept=2329
[judge] 6450/30000  kept=2331
[judge] 6460/30000  kept=2333
[judge] 6470/30000  kept=2335
[judge] 6480/30000  kept=2339
[judge] 6490/30000  kept=2342
[judge] 6500/30000  kept=2343
[judge] 6510/30000  kept=2343
[judge] 6520/30000  kept=2347
[judge] 6530/30000  kept=2349
[judge] 6540/30000  kept=2352
[judge] 6550/30000  kept=2355
[judge] 6560/30000  kept=2359
[judge] 6570/30000  kept=2363
[judge] 6580/30000  kept=2366
[judge] 6590/30000  kept=2369
[judge] 6600/30000  kept=2372
[judge] 6610/30000  kept=2375
[judge] 6620/30000  kept=2378
[judge] 6630/30000  kept=2382
[judge] 6640/30000  kept=2385
[judge] 6650/30000  kept=2387
[judge] 6660/30000  kept=2391
[judge] 6670/30000  kept=2396
[judge] 6680/30000  kept=2399
[judge] 6690/30000  kept=2404
[judge] 6700/30000  kept=2407
[judge] 6710/30000  kept=2410
[judge] 6720/30000  kept=2411
[judge] 6730/30000  kept=2415
[judge] 6740/30000  kept=2419
[judge] 6750/30000  kept=2422
[judge] 6760/30000  kept=2425
[judge] 6770/30000  kept=2428
[judge] 6780/30000  kept=2430
[judge] 6790/30000  kept=2431
[judge] 6800/30000  kept=2435
[judge] 6810/30000  kept=2438
[judge] 6820/30000  kept=2441
[judge] 6830/30000  kept=2442
[judge] 6840/30000  kept=2443
[judge] 6850/30000  kept=2446
[judge] 6860/30000  kept=2450
[judge] 6870/30000  kept=2453
[judge] 6880/30000  kept=2456
[judge] 6890/30000  kept=2461
[judge] 6900/30000  kept=2464
[judge] 6910/30000  kept=2468
[judge] 6920/30000  kept=2471
[judge] 6930/30000  kept=2473
[judge] 6940/30000  kept=2474
[judge] 6950/30000  kept=2476
[judge] 6960/30000  kept=2479
[judge] 6970/30000  kept=2481
[judge] 6980/30000  kept=2486
[judge] 6990/30000  kept=2489
[judge] 7000/30000  kept=2492
[judge] 7010/30000  kept=2494
[judge] 7020/30000  kept=2496
[judge] 7030/30000  kept=2500
[judge] 7040/30000  kept=2502
[judge] 7050/30000  kept=2505
[judge] 7060/30000  kept=2508
[judge] 7070/30000  kept=2511
[judge] 7080/30000  kept=2515
[judge] 7090/30000  kept=2519
[judge] 7100/30000  kept=2522
[judge] 7110/30000  kept=2525
[judge] 7120/30000  kept=2527
[judge] 7130/30000  kept=2528
[judge] 7140/30000  kept=2530
[judge] 7150/30000  kept=2535
[judge] 7160/30000  kept=2536
[judge] 7170/30000  kept=2537
[judge] 7180/30000  kept=2539
[judge] 7190/30000  kept=2543
[judge] 7200/30000  kept=2546
[judge] 7210/30000  kept=2548
[judge] 7220/30000  kept=2551
[judge] 7230/30000  kept=2553
[judge] 7240/30000  kept=2558
[judge] 7250/30000  kept=2561
[judge] 7260/30000  kept=2562
[judge] 7270/30000  kept=2564
[judge] 7280/30000  kept=2566
[judge] 7290/30000  kept=2570
[judge] 7300/30000  kept=2574
[judge] 7310/30000  kept=2577
[judge] 7320/30000  kept=2580
[judge] 7330/30000  kept=2582
[judge] 7340/30000  kept=2585
[judge] 7350/30000  kept=2587
[judge] 7360/30000  kept=2592
[judge] 7370/30000  kept=2594
[judge] 7380/30000  kept=2596
[judge] 7390/30000  kept=2598
[judge] 7400/30000  kept=2603
[judge] 7410/30000  kept=2607
[judge] 7420/30000  kept=2610
[judge] 7430/30000  kept=2613
[judge] 7440/30000  kept=2616
[judge] 7450/30000  kept=2617
[judge] 7460/30000  kept=2620
[judge] 7470/30000  kept=2623
[judge] 7480/30000  kept=2626
[judge] 7490/30000  kept=2630
[judge] 7500/30000  kept=2633
[judge] 7510/30000  kept=2635
[judge] 7520/30000  kept=2639
[judge] 7530/30000  kept=2642
[judge] 7540/30000  kept=2647
